"species","latitud","longitd","site_nm","precisn","rcrdng_","smplng_","isltn_p","substrt","dss_sym","id_mthd","country","year","prmss_t","host","habitat","nrsry_E","nursery","forest","agrcltr","grdn_mn","pnt_f_n","refernc","contact","athrshp","folder"
"Phytophthora plurivora",56.31825778,-2.84468211,"Craigtoun Country Park, St Andrews","895179.8504",NA,NA,NA,NA,NA,NA,"Scotland",2011,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora plurivora",55.54167696,-2.91119517,"Bowhill House, Sellkirk","1646823.322",NA,NA,NA,NA,NA,NA,"Scotland",2010,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora plurivora",55.54167696,-2.91119517,"Bowhill House, Sellkirk","1646823.322",NA,NA,NA,NA,NA,NA,"Scotland",2014,"PG","Gaultheria",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora plurivora",55.79461351,-4.31101111,"Rouken Glen Country Park, East Renfrewshire","8612.736656",NA,NA,NA,NA,NA,NA,"Scotland",2015,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.89302254,-5.44273237,"Stonefield Castle  , Mull of Kintyre","9607735.897",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Pieris forrestii",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Viburnum tinus",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Viburnum bodnantense",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House   , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Pieris sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House   , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House   , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House , Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Viburnum plicatum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.27455432,-3.91278649,"Braco Castle, Dunblane","6206902.733",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. sp.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.63920914,-4.65612139,"Eglington Country Park, Irvine","1544535.701",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.58859383,-5.15998704,"Brodick, Strabane, Arran","603235.7585",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Viburnum sp",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",54.92079616,-3.94919472,"Threave Garden, Castle Douglas","952228.6225",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House/ , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House/ , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House/ , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.38224808,-6.08494194,"Tiroran House/ , Isle of Mull","2974681.456",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Garrya elliptica",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",55.56526706,-5.15837025,"Kilmichael House, Brodick, Arran","1965363.035",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod. ponticum",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
"Phytophthora ramorum",56.19066307,-5.05504643,"Strachur House, Argyll","6703427.332",NA,NA,NA,NA,NA,NA,"Scotland",2012,"PG","Rhod.",NA,"Wider Environment",0,0,0,1,0,"SASA","Alexandra.Schlenzig@sasa.gov.scot","yes","P:/NEC05617_PHYTOTHREATS/Data/UK_occurrence/SASA_ASchlenzig"
