"species","latitud","longitd","site_nm","precisn","rcrdng_","smplng_","isltn_p","substrt","dss_sym","id_mthd","country","year","prmss_t","host","habitat","nrsry_E","nursery","forest","agrcltr","grdn_mn","pnt_f_n","refernc","contact","athrshp","folder"
"Phytophthora ramorum",52.78519556,-0.121291442,"TF2680022500","1",NA,NA,NA,NA,"Mycology - 2% of standard Viburnums showing symptoms of die back.  Please check for P.ramoram     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Warehouse","Viburnum tinus",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"Symptoms -  paler leaves on branches.  No typical symptoms for SOD seen however in 2005 this shrub tested positive for P Kernoviae twice.  This shrub is being used in Wormtec trial.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"This is a sample taken from a known infected rhododendron which is going to be used in the Wormtec trial.  Please confirm if infection still exists.  Please pay particular attention to the yellow leaves of the sample.  Previous domero recorded positive 1","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"Second sample taken from near admirals tower up path 10m. Sample taken from rhodo under elm.
grid ref ss61477 90452     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"rhododendron hybrid
SS62415 92301
sample 2     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"This sample was taken at grid ref ss62959/92458
it is situated in the Botanical gardens. At the bottom by fence and near to main hosta bed.
If not sod could you identify anyway. thanks Kev     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Viburnum bodnantense",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"viburnum x bobnantense
SS62409/92299
Sample 1     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Viburnum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",51.61654728,-3.981184193,"SS6293092717","1",NA,NA,NA,NA,"Sample taken outside ornamental gardens  stream on right ref grid ss 63390 92020     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Office","Rhododendron",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",53.23595813,-3.797899217,"SH8010072500","1",NA,NA,NA,NA,"Some discoloration of leaves and under bark.  V. weak + with LFK.  Please discount SOD etc.     Phytophthora ramorum:  No phytophtthora detected by isolation. cosider re-sampling when cooler wether.","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Viburnum farreri",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.10645458,-5.122817174,"SW7680027600","1",NA,NA,NA,NA,"Sample 1AT SW76823 27376
1 plant
LFD positive. Defoliation, tips and ribs.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Pieris formosa",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.10645458,-5.122817174,"SW7680027600","1",NA,NA,NA,NA,"Sample 2AT SW76825 27371
1 plant
LFD positive.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Pieris formosa",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.10645458,-5.122817174,"SW7680027600","1",NA,NA,NA,NA,"Sample 3AT SW76832 27382
1 plant
Young shoots from old stumps (just by path to the bamboozle).     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Pieris formosa",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.10645458,-5.122817174,"SW7680027600","1",NA,NA,NA,NA,"Sample 1TRE. Map ref SW76894 27209. 1 plant. LFD+ve small regrowth     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 3AT SW99888 46677
1 plant
Wilt and black stems.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP2. Map ref SW99900 46500. Resample of plant R57     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP3. Map ref SW99900 46500. Resample of plant R57     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 12AT SW99860 46566
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron wallichii",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample AP1. Map ref SW99900 46500. Resample of R57.     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden",NA,NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 1AT SX00118 45863
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 2AT SX00129 45857
1 plant
Leaf litter     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 11AT SX00093 46204
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 12AT SX00093 46204
1 plant
Leaves blighted     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 17AT SX00184 46154
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 21AT SX99813 46468
1 plant
Leaf tips     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
"Phytophthora ramorum",50.28446378,-4.8101508,"SW9990046500","1",NA,NA,NA,NA,"Sample 23AT 10/04/2006 SX00100 46188
1 plant
     Phytophthora ramorum:","Analysis and identification of pathogens as per Fera Science lab protocols",NA,2006,"Garden","Rhododendron ponticum",NA,"Wider environment",0,0,0,1,0,NA,"Jane Barbrook","yes","P:\NEC05617_PHYTOTHREATS\Data\UK_occurrence\eDOMERO_Jane_Barbrook\Phytophthora Threats - based on P type  - 060218"
