species,algorithm,selected,KAPPA,TSS,ROC
Phytophthora.cryptogea,GLM,yes,0.1465,0.785,0.9315
Phytophthora.cryptogea,GAM,yes,0.1545,0.7745,0.9265
Phytophthora.cryptogea,ANN,no,0.115,0.664,0.8885
Phytophthora.cryptogea,GBM,yes,0.184,0.779,0.934
Phytophthora.cryptogea,MARS,no,0.1495,0.784,0.904
Phytophthora.cryptogea,RF,no,0.2435,0.5775,0.8195
Phytophthora.cryptogea,MAXENT.Phillips,yes,0.2,0.802,0.9335
Phytophthora.cryptogea,Ensemble,no,0.185,0.795,0.936
Phytophthora.cactorum,GLM,no,0.0785,0.725,0.8665
Phytophthora.cactorum,GAM,yes,0.1195,0.8115,0.916
Phytophthora.cactorum,ANN,no,0.0945,0.638,0.8295
Phytophthora.cactorum,GBM,yes,0.121,0.7615,0.9105
Phytophthora.cactorum,MARS,yes,0.1385,0.7735,0.9205
Phytophthora.cactorum,RF,no,0.187,0.595,0.819
Phytophthora.cactorum,MAXENT.Phillips,yes,0.1015,0.8035,0.9145
Phytophthora.cactorum,Ensemble,no,0.13,0.7925,0.917
Phytophthora.cambivora,GLM,yes,0.219,0.548,0.841
Phytophthora.cambivora,GAM,yes,0.196,0.577,0.852
Phytophthora.cambivora,ANN,no,0.1345,0.5305,0.8165
Phytophthora.cambivora,GBM,yes,0.332,0.556,0.8605
Phytophthora.cambivora,MARS,yes,0.253,0.5605,0.846
Phytophthora.cambivora,RF,no,0.373,0.478,0.7525
Phytophthora.cambivora,MAXENT.Phillips,yes,0.3355,0.5425,0.8415
Phytophthora.cambivora,Ensemble,no,0.326,0.5475,0.855
Phytophthora.cinnamomi,GLM,yes,0.739,0.851,0.96
Phytophthora.cinnamomi,GAM,yes,0.7575,0.8575,0.9615
Phytophthora.cinnamomi,ANN,yes,0.8305,0.9055,0.976
Phytophthora.cinnamomi,GBM,yes,0.836,0.8895,0.9825
Phytophthora.cinnamomi,MARS,yes,0.77,0.879,0.9695
Phytophthora.cinnamomi,RF,yes,0.912,0.9255,0.984
Phytophthora.cinnamomi,MAXENT.Phillips,no,0.77,0.722,0.8885
Phytophthora.cinnamomi,Ensemble,no,0.87,0.903,0.984
Phytophthora.gonapodyides,GLM,yes,0.122,0.5135,0.782
Phytophthora.gonapodyides,GAM,yes,0.128,0.4905,0.7675
Phytophthora.gonapodyides,ANN,no,0.063,0.495,0.743
Phytophthora.gonapodyides,GBM,yes,0.0825,0.5095,0.782
Phytophthora.gonapodyides,MARS,yes,0.1355,0.491,0.784
Phytophthora.gonapodyides,RF,no,0.0935,0.257,0.622
Phytophthora.gonapodyides,MAXENT.Phillips,yes,0.1375,0.5045,0.81
Phytophthora.gonapodyides,Ensemble,no,0.151,0.521,0.786
Phytophthora.lacustris,GLM,yes,0.067,0.496,0.7945
Phytophthora.lacustris,GAM,yes,0.075,0.5285,0.81
Phytophthora.lacustris,ANN,no,0.096,0.477,0.7735
Phytophthora.lacustris,GBM,yes,0.102,0.582,0.8085
Phytophthora.lacustris,MARS,yes,0.086,0.557,0.801
Phytophthora.lacustris,RF,no,0.1445,0.307,0.639
Phytophthora.lacustris,MAXENT.Phillips,yes,0.122,0.542,0.8215
Phytophthora.lacustris,Ensemble,no,0.086,0.5545,0.8145
Phytophthora.plurivora,GLM,yes,0.18,0.775,0.9225
Phytophthora.plurivora,GAM,no,0.1645,0.7565,0.9135
Phytophthora.plurivora,ANN,no,0.1815,0.691,0.8655
Phytophthora.plurivora,GBM,yes,0.1765,0.7655,0.919
Phytophthora.plurivora,MARS,yes,0.2585,0.7705,0.921
Phytophthora.plurivora,RF,no,0.256,0.653,0.845
Phytophthora.plurivora,MAXENT.Phillips,yes,0.202,0.753,0.9215
Phytophthora.plurivora,Ensemble,no,0.1915,0.776,0.924
Phytophthora.ramorum,GLM,yes,0.485,0.8165,0.9475
Phytophthora.ramorum,GAM,yes,0.6515,0.8365,0.9565
Phytophthora.ramorum,ANN,yes,0.6675,0.819,0.955
Phytophthora.ramorum,GBM,yes,0.777,0.8375,0.964
Phytophthora.ramorum,MARS,yes,0.6185,0.835,0.959
Phytophthora.ramorum,RF,no,0.8235,0.8245,0.933
Phytophthora.ramorum,MAXENT.Phillips,no,0.7825,0.722,0.8835
Phytophthora.ramorum,Ensemble,no,0.787,0.846,0.9655
Phytophthora.x.alni,GLM,yes,0.415,0.725,0.9285
Phytophthora.x.alni,GAM,yes,0.393,0.766,0.935
Phytophthora.x.alni,ANN,no,0.471,0.7395,0.9235
Phytophthora.x.alni,GBM,yes,0.625,0.8275,0.966
Phytophthora.x.alni,MARS,yes,0.467,0.7955,0.9405
Phytophthora.x.alni,RF,yes,0.8345,0.8755,0.9685
Phytophthora.x.alni,MAXENT.Phillips,yes,0.677,0.776,0.936
Phytophthora.x.alni,Ensemble,no,0.776,0.827,0.9715
