FC_code,Common name,UK_forestry_species,Phytophthora species,host_pathogen_reference,location,Phytophthora_in_UK,Silvifuture_high_priority
ESF,European silver fir,Abies alba,Phytophthora citricola,"Orlikowski, L.B., Duda, B. & Szkuta, G. (2004) Phytophthora citricola on European beech and silver fir in Polish forest nurseries. Journal of Plant Protection Research, 44, 57–64.",,Y,
,European silver fir,Abies alba,Phytophthora cactorum,"Jung, T., Orlikowski, L. , Henricot, B., Abad-Campos, P., Aday, A.G., Aguin Casal, O., Bakonyi, J., Cacciola, S.O., Cech, T., Chavarriaga, D., Corcobado, T., Cravador, A., Decourcelle, T., Denton, G., Diamandis, S., Dogmus-Lehtijarvi, H.T., Franceschini, A., Ginetti, B., Green, S., Glavendekic, M., Hantula, J., Hartmann, G., Herrero, M. , Ivic, D., Horta Jung, M., Lilja, A., Keca, N., Kramarets, V., Lyubenova, A., Machado, H., Magnano di San Lio, G., Mansilla Vazquez, P.J., and Marcais, B. 2016. Widespread Phytophthora infestations in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases. Forest Pathol. 46(2): 134-163; Spaulding, P. 1961. Foreign Diseases of Forest Trees of the World. U.S.D.A. Agric. Handb. 197: 1-361.; Mulenko, W., Majewski, T., and Ruszkiewicz-Michalska, M. 2008. A preliminary checklist of Micromycetes in Poland. W. Szafer Institute of Botany, Polish Academy of Sciences 9: 752","Denmark, Germany, Poland",Y,
,European silver fir,Abies alba,Phytophthora cinnamomi,"Jung, T., Orlikowski, L. , Henricot, B., Abad-Campos, P., Aday, A.G., Aguin Casal, O., Bakonyi, J., Cacciola, S.O., Cech, T., Chavarriaga, D., Corcobado, T., Cravador, A., Decourcelle, T., Denton, G., Diamandis, S., Dogmus-Lehtijarvi, H.T., Franceschini, A., Ginetti, B., Green, S., Glavendekic, M., Hantula, J., Hartmann, G., Herrero, M. , Ivic, D., Horta Jung, M., Lilja, A., Keca, N., Kramarets, V., Lyubenova, A., Machado, H., Magnano di San Lio, G., Mansilla Vazquez, P.J., and Marcais, B. 2016. Widespread Phytophthora infestations in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases. Forest Pathol. 46(2): 134-163;Mulenko, W., Majewski, T., and Ruszkiewicz-Michalska, M. 2008. A preliminary checklist of Micromycetes in Poland. W. Szafer Institute of Botany, Polish Academy of Sciences 9: 752; Thorn, W.A., and Zentmyer, G.A. 1954. Hosts of Phytophthora cinnamomi Rands. Pl. Dis. Reporter 38: 47-52","Italy, Poland, SE USA",,
,European silver fir,Abies alba,Phytophthora cryptogea,"Jung, T., Orlikowski, L. , Henricot, B., Abad-Campos, P., Aday, A.G., Aguin Casal, O., Bakonyi, J., Cacciola, S.O., Cech, T., Chavarriaga, D., Corcobado, T., Cravador, A., Decourcelle, T., Denton, G., Diamandis, S., Dogmus-Lehtijarvi, H.T., Franceschini, A., Ginetti, B., Green, S., Glavendekic, M., Hantula, J., Hartmann, G., Herrero, M. , Ivic, D., Horta Jung, M., Lilja, A., Keca, N., Kramarets, V., Lyubenova, A., Machado, H., Magnano di San Lio, G., Mansilla Vazquez, P.J., and Marcais, B. 2016. Widespread Phytophthora infestations in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases. Forest Pathol. 46(2): 134-163; Mulenko, W., Majewski, T., and Ruszkiewicz-Michalska, M. 2008. A preliminary checklist of Micromycetes in Poland. W. Szafer Institute of Botany, Polish Academy of Sciences 9: 752",Poland,,
,European silver fir,Abies alba,Phytophthora megasperma,"Jung, T., Orlikowski, L. , Henricot, B., Abad-Campos, P., Aday, A.G., Aguin Casal, O., Bakonyi, J., Cacciola, S.O., Cech, T., Chavarriaga, D., Corcobado, T., Cravador, A., Decourcelle, T., Denton, G., Diamandis, S., Dogmus-Lehtijarvi, H.T., Franceschini, A., Ginetti, B., Green, S., Glavendekic, M., Hantula, J., Hartmann, G., Herrero, M. , Ivic, D., Horta Jung, M., Lilja, A., Keca, N., Kramarets, V., Lyubenova, A., Machado, H., Magnano di San Lio, G., Mansilla Vazquez, P.J., and Marcais, B. 2016. Widespread Phytophthora infestations in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases. Forest Pathol. 46(2): 134-163",Italy,,
,European silver fir,Abies alba,Phytophthora plurivora,"Jung, T., and Burgess, T.I. 2009. Re-evaluation of Phytophthora citricola isolates from multiple woody hosts in Europe and North America reveals a new species, Phytophthora plurivora sp. nov. Persoonia 22: 95-110; Jung, T., Orlikowski, L. , Henricot, B., Abad-Campos, P., Aday, A.G., Aguin Casal, O., Bakonyi, J., Cacciola, S.O., Cech, T., Chavarriaga, D., Corcobado, T., Cravador, A., Decourcelle, T., Denton, G., Diamandis, S., Dogmus-Lehtijarvi, H.T., Franceschini, A., Ginetti, B., Green, S., Glavendekic, M., Hantula, J., Hartmann, G., Herrero, M. , Ivic, D., Horta Jung, M., Lilja, A., Keca, N., Kramarets, V., Lyubenova, A., Machado, H., Magnano di San Lio, G., Mansilla Vazquez, P.J., and Marcais, B. 2016. Widespread Phytophthora infestations in European nurseries put forest, semi-natural and horticultural ecosystems at high risk of Phytophthora diseases. Forest Pathol. 46(2): 134-163; ",Germany; Poland,,
PSF,Pacific silver fir,Abies amabilis,Phytophthora ramorum,"Campbell, S.J. & Hamm, P.B. (1989) SUSCEPTIBILITY OF PACIFIC NORTHWEST CONIFERS TO PHYTOPHTHORA ROOT ROT. ORNAMENTALS NORTHWEST ARCHIVES, 13, 5–8.",,Y,
,Pacific silver fir,Abies amabilis,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
GF,Grand fir,Abies grandis,Phytophthora ramorum,"Riley KL, Chastagner GA, Blomquist C (2010) First report of Phytophthora ramorum infecting grand fir in California. Plant Health Progress April 2011 ",,Y,
,Caucasian silver fir,Abies nordmanniana,Phytophthora niederhauserii,"Józsa, A., Bakonyi, J., Belbahri, L., Nagy, Z.Á., Szigethy, A., Bohár, G. & Woodward, S. (2010) A new species of Phytophthora reported to cause root and collar rot of common boxwood, Nordmann fir and Port Orford cedar in Hungary. New Disease Reports, 22, 7.",,#N/A,
NF,Noble fir,Abies procera,Phytophthora ramorum,"Brasier, C.M., Beales, P. a, Kirk, S. a, Denman, S. & Rose, J. (2005) Phytophthora kernoviae sp. nov., an invasive pathogen causing bleeding stem lesions on forest trees and foliar necrosis of ornamentals in the UK. Mycological research, 109, 853–859.",,Y,
NF,Noble fir,Abies procera,Phytophthora cambivora,"Talgø, V., Herrero, M., Toppe, B., Klemsdal, S. & Stensvand, A. (2006) First Report of Root Rot and Stem Canker Caused by Phytophthora cambivora on Noble Fir (Abies procera) for Bough Production in Norway. Disease Notes, 90, 682.",,Y,
,Noble fir,Abies procera,Phytophthora cinnamomi,"Robin, C., Smith, I., and Hansen, E.M. 2012. Phythophthora cinnamomi. Forest Phytophthoras 2(1). doi: 10.5399/osu/fp.2.1.3041",,Y,
,Big-leaf maple,Acer macrophyllum,Phytophthora ramorum,"Garbelotto, M., Davidson, J.M., Ivors, K., Maloney, P.E., Hüberli, D., Koike, S.T. & Rizzo, D.M. (2003) Non-oak native plants are main hosts for sudden oak death pathogen in California. California Agriculture, 57, 18–23.; Plantwise Knowledge Bank",,Y,
,Big-leaf maple,Acer macrophyllum,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
,Big-leaf maple,Acer macrophyllum,Phytophthora pseudosyringae,"Sansford, C. (2012) Revised Rapid Assessment of the Need for a Detailed Pest Risk Analysis for Phytophthora Pseudosyringae. Sand Hutton, York.",,Y,
NOM,Norway maple,Acer platanoides,Phytophthora cambivora,Plantwise Knowledge Bank,,Y,
,Norway maple,Acer platanoides,Phytophthora cactorum ,"Hudler, G.W., 2013. Phytophthora cactorum. Forest Phytophthoras 3(1). doi:10.5399/osu/fp.3.1.3396",,Y,
