"species","nursery","garden","forest"
"Phytophthora ramorum",2710,6281,2113
"Phytophthora austrocedri",103,203,32
"Phytophthora kernoviae",66,803,223
"Phytophthora syringae",54,100,8
"Phytophthora citricola",24,34,16
"Phytophthora hibernalis",21,26,NA
"Phytophthora cactorum",20,136,14
"Phytophthora lateralis",16,58,6
"Phytophthora plurivora",13,312,2
"Phytophthora cambivora",9,42,3
"Phytophthora citrophthora",9,112,NA
"Phytophthora infestans",8,5,NA
"Phytophthora fragariae",7,6,NA
"Phytophthora cinnamomi",6,199,12
"Phytophthora cryptogea",3,298,NA
"Phytophthora gonapodyides",3,40,NA
"Phytophthora pseudosyringae",3,31,42
"Phytophthora chlamydospora",2,24,NA
"Phytophthora ilicis",2,28,1
"Phytophthora rubi",2,46,NA
"Phytophthora bisheria",1,NA,NA
"Phytophthora fragariae var. fragariae",1,NA,NA
"Phytophthora nemorosa",1,NA,NA
"Phytophthora nicotianae",1,17,NA
"Phytophthora primulae",1,5,2
"Phytophthora undulata",1,NA,NA
"Phytophthora megasperma",NA,33,NA
"Phytophthora multivora",NA,16,NA
"Phytophthora hedraiandra",NA,15,NA
"Phytophthora citricola complex",NA,12,NA
"Phytophthora alni",NA,7,5
"Phytophthora erythroseptica",NA,6,NA
"Phytophthora inundata",NA,5,NA
"Phytophthora lacustris",NA,4,NA
"Phytophthora terminalis",NA,4,NA
"Phytophthora niederhauserii",NA,3,NA
"Phytophthora quercina",NA,3,NA
"Phytophthora tropicalis",NA,3,NA
"Phytophthora tentaculata",NA,2,NA
"Phytophthora alni subsp. uniformis",NA,1,NA
"Phytophthora cactorum ",NA,1,NA
"Phytophthora capsici",NA,1,NA
"Phytophthora citrophthora  ",NA,1,NA
"Phytophthora erythrospetica",NA,1,NA
"Phytophthora gallica",NA,1,NA
"Phytophthora nicotianae var. nicotianae",NA,1,NA
"Phytophthora pachypleura",NA,1,NA
"Phytophthora pini",NA,1,NA
"Phytophthora porri",NA,1,NA
"Phytophthora psychrophila",NA,1,NA
"Phytophthora foliorum",NA,NA,1
